Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation,Change in position,GNI per capita,% of children out of school,Life Expectancy at Birth
Senegal,SEN,Africa,73,49,63.07,59.31,42.13,66.67,72.43,74.84,0,0,0,0,Problematic,-24,3420.0,24.6449794769287,68.213
Serbia,SRB,Europe,79,93,61.51,47.47,34.92,79.92,74.22,71.03,0,0,0,0,Problematic,14,18510.0,2.8929500579834,74.2292682926829
Seychelles,SYC,Africa,13,52,83.33,80.45,69.13,85.31,90.25,91.5,0,0,0,0,Satisfactory,39,26820.0,1.43445003032684,77.2365853658537
Sierra Leone,SLE,Africa,46,75,71.03,73.71,50.38,78.4,77.5,75.14,0,0,0,0,Satisfactory,29,1690.0,,55.066
Singapore,SGP,Asia Pacific,139,160,44.23,39.09,29.21,34.21,49.25,69.39,0,0,0,0,Difficult,21,86340.0,,83.7439024390244
Slovakia,SVK,Europe,27,35,78.37,71.44,67.98,82.02,86.38,84.01,0,0,0,0,Satisfactory,8,,,
Slovenia,SVN,Europe,54,36,68.54,59.32,47.7,79.11,79.94,76.61,0,0,0,0,Problematic,-18,39420.0,,80.5317073170732
Somalia,SOM,Arab States,140,161,44.01,51.03,41.22,47.72,61.8,18.27,0,0,4,0,Difficult,21,1240.0,,57.697
South Africa,ZAF,Africa,35,32,75.56,75.96,62.59,84.36,82.5,72.39,0,0,0,0,Satisfactory,-3,13140.0,,64.379
South Korea,KOR,Asia Pacific,43,42,72.11,71.15,55.31,72.81,79.8,81.5,0,0,0,0,Satisfactory,-1,,,
South Sudan,SSD,Africa,128,139,47.06,40.48,36.73,52.11,50.6,55.37,0,0,0,0,Difficult,11,,,58.095
Spain,ESP,Europe,32,29,76.71,72.73,63.38,82.16,81.89,83.4,0,0,0,0,Satisfactory,-3,37980.0,,82.3341463414634
Sri Lanka,LKA,Asia Pacific,146,127,42.13,40.91,27.04,53.07,48.25,41.37,0,0,0,0,Difficult,-19,12850.0,,77.144
Sudan,SDN,Arab States,151,159,40.96,47.05,29.97,41.45,51.0,35.35,0,0,0,0,Difficult,8,3920.0,,65.53
Suriname,SUR,South America,52,19,68.95,67.88,55.1,62.28,84.0,75.51,0,0,0,0,Problematic,-33,14040.0,11.7694997787476,71.802
Sweden,SWE,Europe,3,3,88.84,91.96,87.66,90.27,90.18,84.14,0,0,0,0,Good,0,57010.0,,82.4073170731707
Switzerland,CHE,Europe,14,10,82.72,90.0,68.37,80.99,88.33,85.92,0,0,0,0,Satisfactory,-4,69170.0,,83.1
Syria,SYR,Middle  East,171,173,28.94,33.51,27.62,33.58,36.57,13.39,1,0,3,0,Very Serious,2,,,
Taiwan,TWN,Asia Pacific,38,43,74.08,74.78,51.88,79.01,77.69,87.02,0,0,0,0,Satisfactory,5,,,
Tajikistan,TJK,Asia Pacific,152,162,40.26,33.79,29.85,48.68,46.0,42.96,0,0,5,0,Difficult,10,4510.0,,71.301
Tanzania,TZA,Africa,123,124,48.28,43.88,32.65,45.09,59.2,60.56,0,0,5,0,Difficult,1,2780.0,16.078929901123,65.815
Thailand,THA,Asia Pacific,115,137,50.15,58.99,45.24,47.37,53.67,45.5,0,0,5,0,Difficult,22,17780.0,,77.344
Timor-Leste,TLS,Asia Pacific,17,71,81.89,85.45,68.71,85.96,75.67,93.65,0,0,5,0,Satisfactory,54,5190.0,,69.712
Togo,TGO,Africa,100,74,57.17,57.52,41.73,61.93,69.5,55.15,0,0,5,0,Problematic,-26,2230.0,1.21732997894287,61.34
Tonga,TON,Asia Pacific,49,46,69.74,69.7,53.06,66.67,69.5,89.8,0,0,5,0,Problematic,-3,7260.0,0.632359981536865,71.018
Trinidad and Tobago,TTO,South America,25,31,78.68,73.94,67.86,74.56,84.5,92.52,0,0,5,0,Satisfactory,6,26290.0,,73.628
Tunisia,TUN,Arab States,94,73,58.49,61.82,41.84,67.19,70.2,51.42,0,0,5,0,Problematic,-21,10500.0,,76.891
Turkey,TUR,Europe,149,153,41.25,38.38,27.55,52.92,55.0,32.37,0,0,1,0,Difficult,4,,,
Turkmenistan,TKM,Asia Pacific,177,178,25.01,25.0,11.73,29.61,23.0,35.69,0,0,5,0,Very Serious,1,,,68.313
Uganda,UGA,Africa,132,125,46.35,44.7,36.99,60.96,56.0,33.09,0,0,2,0,Difficult,-7,2260.0,,63.713
Ukraine,UKR,Europe,106,97,55.76,61.21,42.86,79.45,76.43,18.84,7,1,0,0,Problematic,-9,13370.0,,71.1851219512195
United Arab Emirates,ARE,Middle  East,138,131,44.46,45.45,36.73,32.02,50.5,57.59,0,0,1,0,Difficult,-7,66680.0,0.236279994249344,78.12
United Kingdom,GBR,Europe,24,33,78.71,80.57,72.75,76.63,84.29,79.33,0,0,0,0,Satisfactory,9,45960.0,,80.9024390243903
United States,USA,North America,42,44,72.74,72.99,59.33,77.32,81.43,72.63,0,0,0,0,Satisfactory,2,64210.0,,77.2804878048781
Uruguay,URY,South America,44,18,72.03,70.3,49.32,83.63,72.33,84.58,0,0,0,0,Satisfactory,-26,21500.0,,78.056
Uzbekistan,UZB,Asia Pacific,133,157,45.74,44.75,35.71,50.88,53.33,44.03,0,0,0,0,Difficult,24,7720.0,0.935329973697662,71.848
Venezuela,VEN,South America,159,148,37.78,33.7,31.73,44.74,47.5,31.22,0,0,0,0,Very Serious,-11,,,
Vietnam,VNM,Asia Pacific,174,175,26.11,32.32,18.71,27.49,34.67,17.37,0,0,1,0,Very Serious,1,10410.0,,75.493
Yemen,YEM,Middle  East,169,169,29.14,33.03,27.55,38.6,35.0,11.54,3,0,4,0,Very Serious,0,,,
Zambia,ZMB,Africa,109,115,55.4,52.35,37.76,58.33,64.0,64.55,0,0,0,0,Problematic,6,3360.0,,64.194
Zimbabwe,ZWE,Africa,137,130,44.94,40.3,32.4,54.17,54.5,43.34,0,0,0,0,Difficult,-7,2180.0,13.6371698379517,61.738
